scientificName,vernacularName,VT_SGCN,Regional_SGCN
Anaxyrus fowleri,Fowler's Toad,High ,
Pseudacris maculata,Boreal Chorus Frog,High ,
Lithobates septentrionalis,Mink Frog,Medium ,
Plestiodon fasciatus,Common Five-lined Skink,High ,
Necturus maculosus,Mudpuppy,High ,Regional SGCN-Watchlist
Ambystoma jeffersonianum,Jefferson Salamander,Medium ,Regional SGCN
Ambystoma maculatum,Spotted Salamander,Medium ,
Hemidactylium scutatum,Four-toed Salamander,Medium ,
Coluber constrictor,North American Racer,High ,Regional SGCN-Watchlist
Crotalus horridus,Timber Rattlesnake,High ,Regional SGCN
Pantherophis alleghaniensis,Central Ratsnake,High ,
Thamnophis saurita,Eastern Ribbonsnake,High ,Regional SGCN-Watchlist
Opheodrys vernalis,Smooth Greensnake,Medium ,Regional SGCN-Watchlist
Apalone spinifera,Spiny Softshell (Turtle),High ,Regional SGCN-Watchlist
Clemmys guttata,Spotted Turtle,High ,Regional SGCN
Glyptemys insculpta,Wood Turtle,High ,Regional SGCN
Sternotherus odoratus,Eastern Musk Turtle (Stinkpot),Medium ,
Ammodramus savannarum,Grasshopper Sparrow,High ,Regional SGCN-Watchlist
Antrostomus vociferus,Eastern Whip-poor-will,High ,Regional SGCN
Canachites canadensis,Spruce Grouse,High ,
Cardellina canadensis,Canada Warbler,High ,Regional SGCN-Watchlist
Catharus bicknelli,Bicknell's Thrush,High ,Regional SGCN
Chaetura pelagica,Chimney Swift,High ,Regional SGCN-Watchlist
Chordeiles minor,Common Nighthawk,High ,Regional SGCN-Watchlist
Contopus cooperi,Olive-sided Flycatcher,High ,Regional SGCN-Watchlist
Euphagus carolinus,Rusty Blackbird,High ,Regional SGCN
Hylocichla mustelina,Wood Thrush,High ,Regional SGCN
Perisoreus canadensis,Canada Jay,High ,
Pooecetes gramineus,Vesper Sparrow,High ,Regional SGCN-Watchlist
Setophaga striata,Blackpoll Warbler,High ,Regional SGCN-Watchlist
Sturnella magna,Eastern Meadowlark,High ,Regional SGCN
Vermivora chrysoptera,Golden-winged Warbler,High ,Regional SGCN
Vermivora cyanoptera,Blue-winged Warbler,High ,Regional SGCN
Cistothorus stellaris,Sedge Wren,Medium ,
Coccyzus erythropthalmus,Black-billed Cuckoo,Medium ,Regional SGCN-Watchlist
Dolichonyx oryzivorus,Bobolink,Medium ,Regional SGCN-Watchlist
Empidonax flaviventris,Yellow-bellied Flycatcher,Medium ,
Hirundo rustica,Barn Swallow,Medium ,
Petrochelidon pyrrhonota,Cliff Swallow,Medium ,
Picoides arcticus,Black-backed Woodpecker,Medium ,
Pipilo erythrophthalmus,Eastern Towhee,Medium ,
Poecile hudsonicus,Boreal Chickadee,Medium ,
Progne subis,Purple Martin,Medium ,
Riparia riparia,Bank Swallow,Medium ,Regional SGCN-Watchlist
Setophaga cerulea,Cerulean Warbler,Medium ,Regional SGCN
Setophaga discolor,Prairie Warbler,Medium ,Regional SGCN-Watchlist
Spizella pusilla,Field Sparrow,Medium ,
Toxostoma rufum,Brown Thrasher,Medium ,
Zonotrichia albicollis,White-throated Sparrow,Medium ,
Circus hudsonius,Northern Harrier,High ,
Falco sparverius,American Kestrel,High ,Regional SGCN-Watchlist
Aegolius acadicus,Northern Saw-whet Owl,Medium ,
Astur atricapillus,American Goshawk,Medium ,Regional SGCN-Watchlist
Falco peregrinus,Peregrine Falcon,Medium ,Regional SGCN-Watchlist
Haliaeetus leucocephalus,Bald Eagle,Medium ,
Bartramia longicauda,Upland Sandpiper,High ,Regional SGCN-Watchlist
Tringa flavipes,Lesser Yellowlegs,Medium ,
Bonasa umbellus,Ruffed Grouse,Medium ,Regional SGCN
Scolopax minor,American Woodcock,Medium ,Regional SGCN
Botaurus exilis,Least Bittern,High ,Regional SGCN-Watchlist
Chlidonias niger,Black Tern,High ,Regional SGCN-Watchlist
Podilymbus podiceps,Pied-billed Grebe,High ,
Porzana carolina,Sora,High ,
Sterna hirundo,Common Tern,High ,Regional SGCN
Botaurus lentiginosus,American Bittern,Medium ,
Gavia immer,Common Loon,Medium ,
Nycticorax nycticorax,Black-crowned Night-heron,Medium ,Regional SGCN-Watchlist
Anas rubripes,American Black Duck,High ,Regional SGCN
Acipenser brevirostrum,Shortnose Sturgeon,High ,
Acipenser fulvescens,Lake Sturgeon,High ,Regional SGCN
Alosa aestivalis,Blueback Herring (CT River only),High ,Regional SGCN
Alosa sapidissima,American Shad,Medium ,Regional SGCN
Anguilla rostrata,American Eel,Medium ,Regional SGCN
Moxostoma valenciennesi,Greater Redhorse,High ,
Catostomus catostomus,Longnose Sucker,Medium ,Regional SGCN-Watchlist
Moxostoma anisurum,Silver Redhorse,Medium ,
Moxostoma macrolepidotum,Shorthead Redhorse,Medium ,
Lepomis auritus,Redbreast Sunfish,Medium ,
Cottus bairdii,Mottled Sculpin,Medium ,
Cottus cognatus,Slimy Sculpin,Medium ,Regional SGCN-Watchlist
Esox masquinongy,Muskellunge,High ,
Esox americanus,Redfin Pickerel,Medium ,Regional SGCN-Watchlist
Petromyzon marinus (CT river only),Sea Lamprey (CT river only),Medium ,Regional SGCN-Watchlist
Lota lota,Burbot,Medium ,Regional SGCN-Watchlist
Hiodon tergisus,Mooneye,High ,
Noturus flavus,Stonecat,High ,
Notropis bifrenatus,Bridle Shiner,High ,Regional SGCN
Notropis heterodon,Blackchin Shiner,High ,Regional SGCN-Watchlist
Notropis heterolepis,Blacknose Shiner,High ,Regional SGCN-Watchlist
Chrosomus neogaeus,Finescale Dace,Medium ,
Margariscus margarita,Allegheny Pearl Dace,Medium ,Regional SGCN
Margariscus nachtriebi,Northern Pearl Dace,Medium ,
Notropis rubellus,Rosyface Shiner,Medium ,
Osmerus mordax,Rainbow Smelt,Medium ,Regional SGCN
Ammocrypta pellucida,Eastern Sand Darter,High ,Regional SGCN-Watchlist
Percina copelandi,Channel Darter,High ,Regional SGCN-Watchlist
Sander canadensis,Sauger,High ,Regional SGCN-Watchlist
Percopsis omiscomaycus,Trout-perch,Medium ,Regional SGCN-Proposed Watchlist
Ichthyomyzon fossor,Northern Brook Lamprey,High ,Regional SGCN
Ichthyomyzon unicuspis,Silver Lamprey,High ,
Lethenteron appendix,American Brook Lamprey,High ,Regional SGCN
Prosopium cylindraceum,Round Whitefish,High ,Regional SGCN
Coregonus artedi,Cisco or Lake Herring,Medium ,
Coregonus clupeaformis,Lake Whitefish,Medium ,Regional SGCN-Watchlist
Salmo salar,Atlantic Salmon,Medium ,Regional SGCN
Salvelinus fontinalis,Brook Trout,Medium ,Regional SGCN-Watchlist
Salvelinus namaycush,Lake Trout,Medium ,Regional SGCN-Watchlist
Amanita ristichii,Amanita ristichii,Watchlist,
Amanita sp. 5,Amanita praecox,Watchlist,
Boletinellus merulioides,Boletinellus merulioides,Watchlist,
Caloboletus peckii,Caloboletus peckii,Watchlist,
Clavulinopsis appalachiensis,Clavulinopsis appalachiensis,Watchlist,
Cortinarius azureus,Cortinarius azureus,Watchlist,
Cortinarius ophiopus,Cortinarius ophiopus,Watchlist,
