Scientific Name,Kingdom,Taxonomic Group,Family,Genus,Species,Infraspecific Taxon,vernacularName,State Status,Federal Status,Date Listed,Previously Listed As,Notes
Adiantum viridimontanum,Plantae,Vascular Plants,Pteridaceae,Adiantum,viridimontanum,,Green Mountain Maidenhair-fern,T,,1994-12-07,,
Agastache nepetoides,Plantae,Vascular Plants,Lamiaceae,Agastache,nepetoides,,Yellow Giant Hyssop,T,,1987-04-13,,
Agastache scrophulariifolia,Plantae,Vascular Plants,Lamiaceae,Agastache,scrophulariifolia,,Purple Giant Hyssop,T,,1987-04-13,,
Allium canadense var. canadense,Plantae,Vascular Plants,Liliaceae,Allium,canadense,canadense,Wild Garlic,T,,1987-04-13,Allium canadense L.,
Ammophila breviligulata ssp. champlainensis,Plantae,Vascular Plants,Poaceae,Ammophila,breviligulata,champlainensis,Champlain Beach Grass,E,,1987-04-13,Ammophila champlainensis Seymour,
Anemone multifida var. multifida,Plantae,Vascular Plants,Ranunculaceae,Anemone,multifida,multifida,Early Thimbleweed,E,,1987-04-13,Anemone multifida Poir.,
Anthoxanthum monticola ssp. monticola,Plantae,Vascular Plants,Poaceae,Anthoxanthum,monticola,monticola,Alpine Sweet-grass,T,,1987-04-13,"Hierochloe alpina (Swartz) R. & S.; Anthoxanthum
 monticola (Bigelow) Veldkamp",
Anticlea elegans ssp. glauca,Plantae,Vascular Plants,Liliaceae,Anticlea,elegans,glauca,White Camas,E,,2012-11-15,Anticlea glauca (Nutt.) Kunth,
Aplectrum hyemale,Plantae,Vascular Plants,Orchidaceae,Aplectrum,hyemale,,Putty-root,T,,1987-04-13,,
Arabidopsis lyrata,Plantae,Vascular Plants,Brassicaceae,Arabidopsis,lyrata,,Lyre-leaved Rock-cress,T,,1987-04-13,Arabis lyrata L.,
Arethusa bulbosa,Plantae,Vascular Plants,Orchidaceae,Arethusa,bulbosa,,Arethusa,T,,1987-04-13,,
Arisaema dracontium,Plantae,Vascular Plants,Araceae,Arisaema,dracontium,,Green Dragon,T,,1987-04-13,,
Asclepias amplexicaulis,Plantae,Vascular Plants,Apocynaceae,Asclepias,amplexicaulis,,Blunt-leaved Milkweed,T,,1987-04-13,,
Asclepias tuberosa ssp. tuberosa,Plantae,Vascular Plants,Apocynaceae,Asclepias,tuberosa,tuberosa,Butterfly-weed,T,,1987-04-13,Asclepias tuberosa L.,
Asclepias verticillata,Plantae,Vascular Plants,Apocynaceae,Asclepias,verticillata,,Whorled Milkweed,E,,2015-03-28,,
Asplenium montanum,Plantae,Vascular Plants,Aspleniaceae,Asplenium,montanum,,Mountain Spleenwort,T,,1987-04-13,,
Asplenium viride,Plantae,Vascular Plants,Aspleniaceae,Asplenium,viride,,Green Spleenwort,T,,1987-04-13,Asplenium trichomanes- ramosum L.,
Astragalus canadensis var. canadensis,Plantae,Vascular Plants,Fabaceae,Astragalus,canadensis,canadensis,Canada Milk-vetch,T,,1987-04-13,Astragalus canadensis L.,
Astragalus robbinsii var. jesupii,Plantae,Vascular Plants,Fabaceae,Astragalus,robbinsii,jesupii,Jesup's Milk-vetch,E,E,1987-04-13,,
Betula minor,Plantae,Vascular Plants,Betulaceae,Betula,minor,,Dwarf Birch,E,,2015-03-28,,
Blephilia hirsuta var. glabrata,Plantae,Vascular Plants,Lamiaceae,Blephilia,hirsuta,glabrata,Smooth Wood-mint,T,,1987-04-13,Blephilia hirsuta (Pursh.) Benth.,
Blephilia hirsuta var. hirsuta,Plantae,Vascular Plants,Lamiaceae,Blephilia,hirsuta,hirsuta,Hairy Wood-mint,T,,1987-04-13,"Blephilia hirsuta
 (Pursh.) Benth.",
Boechera stricta,Plantae,Vascular Plants,Brassicaceae,Boechera,stricta,,Drummond's Rock-cress,E,,1991-11-09,Arabis drummondii A. Gray,
Botrychium minganense,Plantae,Vascular Plants,Ophioglossaceae,Botrychium,minganense,,Mingan Moonwort,E,,2011-02-16,,
Braya humilis ssp. humilis,Plantae,Vascular Plants,Brassicaceae,Braya,humilis,humilis,Northern Rock-cress,T,,1987-04-13,Braya humilis (C.A. Mey) B.L. Rob.,
Calamagrostis pickeringii,Plantae,Vascular Plants,Poaceae,Calamagrostis,pickeringii,,Pickering's Reed-grass,E,,2011-02-16,,
Calamagrostis stricta ssp. inexpansa,Plantae,Vascular Plants,Poaceae,Calamagrostis,stricta,inexpansa,Bentgrass,E,,1991-11-09,,
Calypso bulbosa var. americana,Plantae,Vascular Plants,Orchidaceae,Calypso,bulbosa,americana,Fairy Slipper,T,,1987-04-13,Calypso bulbosa (L.) Oakes,
Calystegia spithamaea ssp. spithamaea,Plantae,Vascular Plants,Convolvulaceae,Calystegia,spithamaea,spithamaea,Low Bindweed,T,,1987-04-13,Calystegia spithamaea (L.) Pursh,
Carex arcta,Plantae,Vascular Plants,Cyperaceae,Carex,arcta,,Contracted Sedge,E,,1991-11-09,,
Carex atratiformis,Plantae,Vascular Plants,Cyperaceae,Carex,atratiformis,,Blackish Sedge,T,,1987-04-13,,
Carex buxbaumii,Plantae,Vascular Plants,Cyperaceae,Carex,buxbaumii,,Buxbaum's Sedge,E,,1987-04-13,,
