taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1162878	Ellychnia corrusca (Linnaeus, 1767)	11326368	Photinus corrusca (Linnaeus, 1767)	6	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Lampyridae	4737	Photinus	1162746	Photinus corrusca	11326368	LC
1795042	Tetanolita floridana Smith, 1895	1795042	Tetanolita floridana Smith, 1895	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Tetanolita	1795041	Tetanolita floridana	1795042	NE
2049739	Adelges tsugae Annand, 1924	2049739	Adelges tsugae Annand, 1924	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Adelgidae	9478	Adelges	2049637	Adelges tsugae	2049739	NE
2330911	Aplidium stellatum (Verrill, 1871)	2330911	Aplidium stellatum (Verrill, 1871)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Ascidiacea	356	Aplousobranchia	9589977	Polyclinidae	7348	Aplidium	2330825	Aplidium stellatum	2330911	NE
2415861	Pollachius virens (Linnaeus, 1758)	2415861	Pollachius virens (Linnaeus, 1758)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Gadiformes	549	Gadidae	3701	Pollachius	2415860	Pollachius virens	2415861	NE
2431477	Plethodon Tschudi, 1838	2431477	Plethodon Tschudi, 1838	15	GENUS	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Plethodon	2431477			NE
3169707	Vinca minor L.	3169707	Vinca minor L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Vinca	3169706	Vinca minor	3169707	NE
3191157	Drosera intermedia Hayne	3191157	Drosera intermedia Hayne	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Droseraceae	5399	Drosera	3190721	Drosera intermedia	3191157	NE
3196171	Halosiphon tomentosus (Lyngb.) Jaasund	3196171	Halosiphon tomentosus (Lyngb.) Jaasund	1	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Tilopteridales	593	Halosiphonaceae	7737	Halosiphon	3196170	Halosiphon tomentosus	3196171	NE
3198352	Myriotrichia clavaeformis Harv.	3198352	Myriotrichia clavaeformis Harv.	1	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Ectocarpales	1181	Chordariaceae	7727	Myriotrichia	3198347	Myriotrichia clavaeformis	3198352	NE
5178073	Caprella penantis Leach, 1814	5178073	Caprella penantis Leach, 1814	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Caprellidae	4420	Caprella	2220023	Caprella penantis	5178073	NE
5190423	Cymbulia calceola A.E.Verrill, 1880	2293794	Corolla calceola (A.E.Verrill, 1880)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Pteropoda	9697017	Cymbuliidae	2616	Corolla	2293791	Corolla calceola	2293794	NE
5406789	Alcea rosea L.	5406789	Alcea rosea L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Alcea	5406788	Alcea rosea	5406789	NE
5414197	Comptonia peregrina (L.) Coult.	5414197	Comptonia peregrina (L.) Coult.	21	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Myricaceae	2432	Comptonia	8464883	Comptonia peregrina	5414197	NE
5705596	Solidago canadensis var. scabra (Muhl. ex Willd.) Torr. & A.Gray	5389058	Solidago altissima L.	2	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Solidago	5388868	Solidago altissima	5389058	
6065806	Chlidonias niger surinamensis (Gmelin, 1789)	6065806	Chlidonias niger surinamensis (Gmelin, 1789)	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Chlidonias	2481118	Chlidonias niger	2481119	
7385748	Lyngbya confervoides C.Agardh ex Gomont	7385748	Lyngbya confervoides C.Agardh ex Gomont	3	SPECIES	ACCEPTED	Bacteria	3	Cyanobacteria	68	Cyanobacteriia	10774316	Cyanobacteriales	10793096	Microcoleaceae	7941427	Lyngbya	3218593	Lyngbya confervoides	7385748	NE
7739851	Agenioideus humilis (Cresson, 1867)	7739851	Agenioideus humilis (Cresson, 1867)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Pompilidae	7913	Agenioideus	4404608	Agenioideus humilis	7739851	NE
7852167	Microspora quadrata Hazen	7852167	Microspora quadrata Hazen	10	SPECIES	ACCEPTED	Plantae	6	Chlorophyta	36	Chlorophyceae	329	Sphaeropleales	7429582	Microsporaceae	8797	Microspora	2639650	Microspora quadrata	7852167	NE
8292425	Calidris subruficollis (Vieillot, 1819)	2481773	Tryngites subruficollis (Vieillot, 1819)	43	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tryngites	2481772	Tryngites subruficollis	2481773	NT
212	Aves	212	Aves	4	CLASS	ACCEPTED	Animalia	1	Chordata	44	Aves	212									
1771562	Drasteria Hübner, 1818	1771562	Drasteria Hübner, 1818	6	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Drasteria	1771562			
1959302	Semiothisa continuata Walker, 1862	1959302	Semiothisa continuata Walker, 1862	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Semiothisa	1958577	Semiothisa continuata	1959302	NE
1978671	Patalene olyzonaria Walker, 1860	1978671	Patalene olyzonaria Walker, 1860	38	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Patalene	1978643	Patalene olyzonaria	1978671	NE
