taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
830	Nitrospirales	830	Nitrospirales	1	ORDER	ACCEPTED	Bacteria	3	Nitrospirota	10860391	Nitrospiria	10889728	Nitrospirales	830							
4334	Apidae	4334	Apidae	4	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334					NE
1003652	Cristatella mucedo Cuvier, 1798	1003652	Cristatella mucedo Cuvier, 1798	1	SPECIES	ACCEPTED	Animalia	1	Bryozoa	53	Phylactolaemata	139	Plumatellida	1070	Cristatellidae	6907	Cristatella	1003651	Cristatella mucedo	1003652	NE
1033457	Helichus striatus LeConte, 1852	1033457	Helichus striatus LeConte, 1852	7	SPECIES	DOUBTFUL	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Dryopidae	4732	Helichus	9813320	Helichus striatus	1033457	NE
1033975	Enochrus Thomson, 1859	1033975	Enochrus Thomson, 1859	6	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Hydrophilidae	7830	Enochrus	1033975			
1049313	Ophraella notata (Fabricius, 1801)	1049313	Ophraella notata (Fabricius, 1801)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Ophraella	1049311	Ophraella notata	1049313	NE
1162878	Ellychnia corrusca (Linnaeus, 1767)	11326368	Photinus corrusca (Linnaeus, 1767)	457	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Lampyridae	4737	Photinus	1162746	Photinus corrusca	11326368	LC
1341709	Triepeolus simplex Robertson, 1903	1341709	Triepeolus simplex Robertson, 1903	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Triepeolus	1341601	Triepeolus simplex	1341709	NE
1587578	Cuterebra emasculator Fitch, 1856	1587578	Cuterebra emasculator Fitch, 1856	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Oestridae	9499	Cuterebra	1587475	Cuterebra emasculator	1587578	NE
1745729	Epinotia nonana Kearfott, 1907	1745729	Epinotia nonana Kearfott, 1907	45	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Epinotia	1745549	Epinotia nonana	1745729	NE
1795958	Apamea cristata Grote, 1878	1795958	Apamea cristata Grote, 1878	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Apamea	1795782	Apamea cristata	1795958	NE
1829363	Lyonetia prunifoliella (Hübner, 1796)	1829363	Lyonetia prunifoliella (Hübner, 1796)	22	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lyonetiidae	9410	Lyonetia	1829298	Lyonetia prunifoliella	1829363	NE
1851406	Coleotechnites Chambers, 1880	1851406	Coleotechnites Chambers, 1880	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Gelechiidae	3553	Coleotechnites	1851406			
1918309	Lethe Hübner, 1819	1918309	Lethe Hübner, 1819	7	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Lethe	1918309			
1962391	Dysstroma walkerata Pearsall, 1909	1962391	Dysstroma walkerata Pearsall, 1909	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Dysstroma	1962369	Dysstroma walkerata	1962391	NE
2008582	Pselliopus cinctus (Fabricius, 1776)	2008582	Pselliopus cinctus (Fabricius, 1776)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Reduviidae	4324	Pselliopus	2008581	Pselliopus cinctus	2008582	NE
2049739	Adelges tsugae Annand, 1924	2049739	Adelges tsugae Annand, 1924	13	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Adelgidae	9478	Adelges	2049637	Adelges tsugae	2049739	NE
2180602	Aturus estellae Habeeb, 1953	2180602	Aturus estellae Habeeb, 1953	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Trombidiformes	543	Aturidae	7488	Aturus	2180592	Aturus estellae	2180602	NE
2431477	Plethodon Tschudi, 1838	2431477	Plethodon Tschudi, 1838	22	GENUS	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Caudata	953	Plethodontidae	6748	Plethodon	2431477			NE
2481350	Synthliboramphus antiquus (Gmelin, 1789)	2481350	Synthliboramphus antiquus (Gmelin, 1789)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Alcidae	2985	Synthliboramphus	2481347	Synthliboramphus antiquus	2481350	LC
2493643	Emblema Gould, 1842	2493643	Emblema Gould, 1842	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Estrildidae	5709	Emblema	2493643			NE
2520696	Fomitiporia tsugina Murrill	8669905	Fomitiporia punctata (P.Karst.) Murrill	3	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Hymenochaetales	1304	Hymenochaetaceae	8468	Fomitiporia	2521363	Fomitiporia punctata	8669905	NE
2676901	Bryum caespiticium Hedwig, 1801	2676901	Bryum caespiticium Hedwig, 1801	28	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Bryaceae	8736	Bryum	2676502	Bryum caespiticium	2676901	NE
2678413	Climacium F.Weber & D.Mohr	2678413	Climacium F.Weber & D.Mohr	2	GENUS	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Leucodontales	1340	Climaciaceae	8762	Climacium	2678413			
2727217	Carex eburnea Boott	2727217	Carex eburnea Boott	81	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Carex	2721893	Carex eburnea	2727217	NE
2874569	Cucumis sativus L.	2874569	Cucumis sativus L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Cucurbitales	7224005	Cucurbitaceae	6634	Cucumis	2874568	Cucumis sativus	2874569	NE
3169707	Vinca minor L.	3169707	Vinca minor L.	509	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Vinca	3169706	Vinca minor	3169707	NE
3172354	Fraxinus pennsylvanica var. subintegerrima (Vahl) Fernald	3172348	Fraxinus pennsylvanica Marshall	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Oleaceae	6652	Fraxinus	3172323	Fraxinus pennsylvanica	3172348	
3191157	Drosera intermedia Hayne	3191157	Drosera intermedia Hayne	37	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Droseraceae	5399	Drosera	3190721	Drosera intermedia	3191157	NE
3343759	Pholiota squarrosoides (Peck) Sacc.	3343759	Pholiota squarrosoides (Peck) Sacc.	8	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Strophariaceae	4186	Pholiota	2528397	Pholiota squarrosoides	3343759	NE
4299800	Satyrodes eurydice (Linnaeus, 1763)	1918395	Lethe eurydice Linnaeus, 1763	374	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Lethe	1918309	Lethe eurydice	1918395	NE
4634829	Meneviella Stubblefield, 1951	4634829	Meneviella Stubblefield, 1951	2	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Trilobita	9273948	Ptychopariida	9583276	Conocoryphidae	3266934	Meneviella	4634829			
4895011	Puniceicoccaceae	4895011	Puniceicoccaceae	1	FAMILY	ACCEPTED	Bacteria	3	Verrucomicrobiota	10773962	Verrucomicrobiae	219	Opitutales	8349054	Puniceicoccaceae	4895011					
5238468	Clavaria botrytis Pers.	7486196	Ramaria botrytis (Pers.) Bourdot	1	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Gomphales	1303	Gomphaceae	8467	Ramaria	2521461	Ramaria botrytis	7486196	NE
5252625	Winterella femoralis (Peck) Kuntze	2566037	Cryptosporella femoralis (Peck) L.C.Mejía & Castl.	1	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Sordariomycetes	320	Diaporthales	1289	Gnomoniaceae	4147	Cryptosporella	2566011	Cryptosporella femoralis	2566037	NE
