taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2390	Scrophulariaceae	2390	Scrophulariaceae	1	FAMILY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Scrophulariaceae	2390					NE
1162878	Ellychnia corrusca (Linnaeus, 1767)	11326368	Photinus corrusca (Linnaeus, 1767)	6	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Lampyridae	4737	Photinus	1162746	Photinus corrusca	11326368	LC
1438015	Phylocentropus Banks, 1907	1438015	Phylocentropus Banks, 1907	3	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Trichoptera	1003	Dipseudopsidae	7962	Phylocentropus	1438015			
2039248	Oncopsis variabilis (Fitch, 1851)	2039248	Oncopsis variabilis (Fitch, 1851)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Cicadellidae	9647	Oncopsis	2039222	Oncopsis variabilis	2039248	NE
2526892	Mycena radicatella (Peck) Sacc.	2526880	Mycena galericulata (Scop.) Gray	4	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Mycenaceae	4180	Mycena	5955261	Mycena galericulata	2526880	NE
2551304	Russula luteotacta Rea	2551304	Russula luteotacta Rea	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Russulaceae	7609	Russula	2551169	Russula luteotacta	2551304	NE
2566594	Cryptodiaporthe corni (Wehm.) Petr.	9797559	Aurantioporthe corni (Wehm.) G.L.Beier & Blanchette	1	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Sordariomycetes	320	Diaporthales	1289	Cryphonectriaceae	8412	Aurantioporthe	9706429	Aurantioporthe corni	9797559	NE
2676901	Bryum caespiticium Hedwig, 1801	2676901	Bryum caespiticium Hedwig, 1801	48	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Bryaceae	8736	Bryum	2676502	Bryum caespiticium	2676901	NE
2678413	Climacium F.Weber & D.Mohr	2678413	Climacium F.Weber & D.Mohr	2	GENUS	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Leucodontales	1340	Climaciaceae	8762	Climacium	2678413			
2701010	Luzula echinata (Small) F.J.Herm.	2701010	Luzula echinata (Small) F.J.Herm.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Juncaceae	5353	Luzula	2700604	Luzula echinata	2701010	NE
